key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018alhu_qm46,6404,2468,342,4924,5858,5058,422,52
2018alhu_qm47,6366,1369,4965,3843,141,7026,345,222
2018alhu_qm48,1319,4740,4533,3593,538,5005,420,185
2018alhu_qm49,3139,5616,4451,4087,4306,7072,308,260
2018alhu_qm5,4087,7111,2556,4740,5858,5721,462,30
2018alhu_qm50,2556,547,3966,7065,3792,7313,182,174
2018alhu_qm51,2468,5045,4965,5410,4533,6107,369,270
2018alhu_qm52,4306,6404,3319,7072,1369,5005,281,246
2018alhu_qm53,34,5721,5058,3792,3139,4740,198,367
2018alhu_qm54,2973,7026,7065,7313,5616,4924,286,50
2018alhu_qm55,2556,5410,1319,3844,442,2815,284,231
2018alhu_qm56,7111,3959,538,342,4451,3843,316,190
2018alhu_qm57,6366,5858,141,6937,4087,547,332,350
2018alhu_qm58,3966,3319,3792,3593,2468,2815,290,372
2018alhu_qm59,6107,538,3844,4306,4924,1369,102,359
2018alhu_qm6,1319,7065,3139,7026,3959,6366,76,392
2018alhu_qm60,4533,442,2556,6366,7313,7111,462,165
2018alhu_qm61,4451,4965,5410,7065,5005,4087,426,201
2018alhu_qm62,342,3593,5045,141,34,3139,407,161
2018alhu_qm63,4740,2973,547,7026,1319,6404,261,336
2018alhu_qm64,5616,6937,5721,3959,7072,3966,128,470
2018alhu_qm65,5058,3843,5005,5858,2815,4087,136,227
2018alhu_qm66,7026,4306,538,34,2556,2468,189,378
2018alhu_qm67,3959,4451,7313,5045,3319,4740,386,193
2018alhu_qm68,5858,342,4533,7065,5058,5410,408,192
2018alhu_qm69,4924,3844,2973,547,5721,141,185,262
2018alhu_qm7,2815,4924,7072,4533,3844,34,184,359
2018alhu_qm70,3843,6366,442,4965,3966,6404,300,293
2018alhu_qm71,6107,7072,1319,3593,6937,7111,299,203
2018alhu_qm72,1369,342,3139,5616,3792,2815,417,333
2018alhu_qm73,4740,7026,5410,5721,3843,4306,252,242
2018alhu_qm74,7065,34,6366,6107,6404,5005,267,257
2018alhu_qm75,3319,3959,4087,3792,547,4533,217,332
2018alhu_qm76,7072,141,2468,1369,4451,2556,239,270
2018alhu_qm77,4924,7111,5045,5616,3966,1319,262,315
2018alhu_qm78,538,5858,6937,2973,442,3593,53,377
2018alhu_qm79,3139,7313,5058,4965,3844,3843,187,434
2018alhu_qm8,141,4451,3792,7313,3319,5858,392,26
2018alhu_qm9,7026,4087,1369,3966,5005,342,481,173
2018alhu_sf1m1,3792,2556,3844,4965,4451,5045,395,126
2018alhu_sf1m2,3792,2556,3844,4965,4451,5045,440,288
2018alhu_sf2m1,342,3959,7072,141,4087,5410,397,246
2018alhu_sf2m2,342,3959,7072,141,4087,5410,346,359
2018alhu_sf2m3,342,3959,7072,141,4087,5410,394,314
2018arc_f1m1,3620,1756,4237,4541,868,4003,356,361
2018arc_f1m2,3620,1756,4237,4541,868,4003,356,397
2018arc_qf1m1,5436,1114,67,1559,4786,1259,270,317
2018arc_qf1m2,4557,1114,67,1559,4786,1259,455,303
2018arc_qf1m3,4557,1114,67,1559,4786,1259,443,272
2018arc_qf2m1,3620,1756,4237,1923,3656,6328,440,306
2018arc_qf2m2,3620,1756,4237,1923,3656,303,387,365
2018arc_qf3m1,2016,694,1325,4392,2075,3928,452,213
2018arc_qf3m2,1325,694,870,4392,2075,3928,393,297
2018arc_qf4m1,4541,868,4003,4776,2200,1218,311,460
2018arc_qf4m2,4541,868,4003,4776,2200,1218,368,352
2018arc_qf4m3,4541,868,4003,4776,2200,1218,397,255
2018arc_qm1,7160,3381,3656,3928,1756,6875,292,425
2018arc_qm10,1259,3620,2202,6968,1262,5413,403,197
2018arc_qm100,3620,6237,5422,1493,1325,1923,317,369
2018arc_qm101,58,3767,4786,4521,447,2081,386,243
2018arc_qm102,555,4011,2075,6328,870,5407,324,437
2018arc_qm103,4392,2228,7329,5413,694,2549,296,442
2018arc_qm104,5216,1322,4096,4541,2177,612,404,208
2018arc_qm105,6237,1493,4557,2202,6329,3381,253,460
2018arc_qm106,5913,1559,894,1756,3656,5436,375,360
2018arc_qm107,2620,870,2081,2220,1114,2377,205,416
2018arc_qm108,2830,5531,1259,447,4003,2075,234,351
2018arc_qm109,6875,4011,868,4786,1262,6860,437,302
2018arc_qm11,4237,7329,1322,2620,4011,894,459,206
2018arc_qm110,58,555,4909,3620,4237,3928,332,384
2018arc_qm111,5724,303,5407,6968,5422,7160,306,316
2018arc_qm112,6328,1218,3767,2200,6121,4776,338,361
2018arc_qm113,5674,3618,1923,2016,4521,67,299,371
2018arc_qm114,1660,2620,1114,1325,5913,868,282,407
2018arc_qm12,555,6875,4521,868,1218,2177,350,441
2018arc_qm13,5216,303,1756,6121,5674,58,394,278
2018arc_qm14,7160,6237,3618,5913,1114,612,237,378
2018arc_qm15,3928,2830,447,1559,1660,2202,365,307
2018arc_qm16,6860,2377,4541,1325,1259,2200,142,452
2018arc_qm17,4237,5724,5436,2081,2075,2177,459,165
2018arc_qm18,5407,3620,894,5531,2620,4392,374,220
2018arc_qm19,4786,3656,2016,870,4909,2228,383,329
2018arc_qm2,5436,4096,2016,4776,447,6237,338,344
2018arc_qm20,694,1923,555,6968,3767,1493,418,81
2018arc_qm21,4557,4776,4003,5422,1262,7329,463,283
2018arc_qm22,5413,1322,6329,2220,67,6328,325,334
2018arc_qm23,5674,4096,4011,3381,2549,1259,373,297
2018arc_qm24,4521,2620,2228,303,5436,5913,218,452
2018arc_qm25,1114,4392,4237,868,6121,447,387,336
2018arc_qm26,1218,7329,2016,2075,1756,3620,275,432
2018arc_qm27,3767,1559,1262,5531,67,870,231,287
2018arc_qm28,1322,612,5422,694,2081,6875,226,335
2018arc_qm29,4003,2202,2377,58,5724,4096,392,249
2018arc_qm3,2081,58,5422,2830,67,868,218,507
2018arc_qm30,1493,3928,3618,4786,6328,4776,337,457
2018arc_qm31,4557,4541,5216,6860,7160,2830,395,204
2018arc_qm32,4011,6968,3656,6329,2220,1325,125,427
2018arc_qm33,2549,1660,4909,6237,894,555,361,319
2018arc_qm34,2177,3381,2200,5413,5407,1923,253,377
2018arc_qm35,5724,2620,3767,5674,612,4786,271,425
2018arc_qm36,67,4541,694,3620,6875,447,507,194
2018arc_qm37,870,3656,1493,7329,868,7160,301,411
2018arc_qm38,2228,6328,1114,4237,4557,1259,408,354
2018arc_qm39,1262,2549,6329,5436,58,3928,246,410
2018arc_qm4,5724,6328,1325,5531,5216,2228,605,309
2018arc_qm40,2377,2177,4909,3381,5422,5913,411,344
2018arc_qm41,2200,6237,2220,894,2830,6121,313,456
2018arc_qm42,4521,1325,4776,1322,555,1756,485,224
2018arc_qm43,4011,5531,303,2081,5413,1218,360,302
2018arc_qm44,1559,2075,6968,3618,4392,4096,464,321
2018arc_qm45,5407,2016,1660,6860,5216,2202,268,304
2018arc_qm46,1923,6329,2228,4003,868,894,273,421
2018arc_qm47,2177,1756,4776,2377,3620,67,361,286
2018arc_qm48,5422,6875,4237,5413,870,3767,313,287
2018arc_qm49,1325,1559,2081,7160,2549,4521,453,189
2018arc_qm5,4909,6860,303,1923,4392,1559,157,444
2018arc_qm50,4541,1259,58,3618,2220,5407,443,366
2018arc_qm51,1923,6121,3928,4096,5531,4557,416,286
2018arc_qm52,4392,1493,5436,1322,1660,1218,228,373
2018arc_qm53,694,6237,1262,3656,303,2620,406,315
2018arc_qm54,5913,555,6328,2016,2830,5724,350,339
2018arc_qm55,4003,2200,612,4909,2202,4011,486,263
2018arc_qm56,6968,5216,7329,1114,4786,3381,304,477
2018arc_qm57,447,6860,5413,2075,5674,1322,300,395
2018arc_qm58,868,5407,694,6121,4557,1559,456,281
2018arc_qm59,67,5724,1756,2549,870,4392,470,301
